Column1;Column2;Column3;Column4;Column5;Column6;Column7
Column1;Column2;Column3;Column4;Column5;Column6;Column7
Designator;Val;Package;Mid X;Mid Y;Rotation;Layer
C16;100n;C_0402_1005Metric;25.980000;61.260000;180.000000;top
C38;4u7;C_0805_2012Metric;38.250000;70.200000;90.000000;top
C39;100n;C_0402_1005Metric;57.250000;58.250000;90.000000;top
C40;100n;C_0402_1005Metric;56.270000;59.250000;-90.000000;top
C41;100n;C_0402_1005Metric;53.000000;70.750000;0.000000;top
C42;100n;C_0402_1005Metric;39.750000;69.750000;90.000000;top
C43;100n;C_0402_1005Metric;38.500000;54.500000;180.000000;top
C44;100n;C_0402_1005Metric;53.750000;53.020000;-90.000000;top
C45;2u2;C_0805_2012Metric;40.300000;73.000000;180.000000;top
C46;2u2;C_0805_2012Metric;36.500000;54.750000;-90.000000;top
C47;1u;C_0603_1608Metric;58.250000;68.025000;90.000000;top
C48;100n;C_0402_1005Metric;57.000000;66.730000;90.000000;top
C49;1u;C_0603_1608Metric;59.000000;65.000000;0.000000;top
C50;100n;C_0402_1005Metric;56.000000;64.250000;-90.000000;top
C51;100n;C_0402_1005Metric;56.000000;62.250000;90.000000;top
C52;10n;C_0402_1005Metric;60.624000;61.526000;90.000000;top
D5;SMLVT3V3;DIOM5436X265N;11.250000;39.000000;90.000000;top
FID1;Fiducial;Fiducial_1mm_Mask2mm;5.500000;78.000000;0.000000;top
FID2;Fiducial;Fiducial_1mm_Mask2mm;90.500000;78.000000;0.000000;top
FID3;Fiducial;Fiducial_1mm_Mask2mm;5.500000;15.000000;0.000000;top
IC6;ESDALC6V1W5;SOT65P210X110-5N;13.950000;31.600000;180.000000;top
IC7;USBLC6-2SC6;SOT-23-6;12.137500;66.950000;0.000000;top
IC9;STM32H7A3VIT6;LQFP-100_14x14mm_P0.5mm;46.750000;61.500000;180.000000;top
Q5;DMN1008UFDF-7;DMN1008UFDF7;58.000000;38.750000;90.000000;top
R21;100k;R_0402_1005Metric;57.500000;43.250000;-90.000000;top
R22;169;R_0603_1608Metric;59.000000;42.925000;-90.000000;top
R32;0R;R_0603_1608Metric;63.750000;68.500000;180.000000;top
R33;0R;R_0603_1608Metric;60.750000;67.750000;90.000000;top
R34;10k;R_0402_1005Metric;49.250000;47.250000;90.000000;top
R35;0R;C_0603_1608Metric;68.000000;73.275000;90.000000;top
R36;0R;R_0603_1608Metric;63.500000;75.000000;-90.000000;top
R38;3k3;R_0402_1005Metric;27.500000;59.510000;90.000000;top
R39;10k;R_0402_1005Metric;56.250000;71.750000;0.000000;top
